assetId	assetType	sourceUrl	sourceVersion	licenseId	status	reviewer	reviewedAt
lucky-link-ice-blue-modules-v34	generated-sprite-atlas	content/ice-blue-modules-provenance-v34.json	sha256:9e598f2a662f3c31e4ec7e463c76a7d82e91981c9b6508af1a9e7ae5cd0bf657	original-generated-derivative	pending-review	Codex	2026-09-18
lucky-link-tabletop-phone-v19	generated-phone-sprite	openai-imagegen://built-in/2026-09-15	sha256:64a20897064dab4bb0220b4404cd66d62a5e04591f442c3eb878848cf75e7a02	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-collections-craft-v18	generated-sprite-atlas	openai-imagegen://built-in/2026-09-15	sha256:304015300d65790fccb11726dc15ef2b31387d21054ddad72e2ffea16c415132	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-cover-v2	generated-ui-mockup	openai-imagegen://built-in/2026-09-09	sha256:234abf482c01fbcf939f9f4f997a11a3d91baa912aa1bf8fcc16f0ff11df1c07	original-generated-alternative	approved	钟笑咪	2026-09-09
lucky-link-bead-sprites-v1	generated-sprite-sheet	openai-imagegen://built-in/2026-09-09	sha256:a0fa97c9d5f437a4df4e5f4d0014109549fd71dab6e92d8d63dfae3de4b7dec5	original-generated-alternative	approved	钟笑咪	2026-09-09
lucky-link-phone-plate-v1	generated-background-plate	openai-imagegen://built-in/2026-09-09	sha256:f78c885b1648b0d8066ead4c2200dfd5cee413378451546ef2a37eda036ce9df	original-generated-alternative	approved	钟笑咪	2026-09-09
lucky-link-cover-v3-2_5d	generated-ui-mockup	openai-imagegen://built-in/2026-09-09	sha256:afc11a5ae871b1c7055dfd484ee3e248cf98645a9fb34bebc77c28a2d45da49a	original-generated-alternative	approved	钟笑咪	2026-09-09
lucky-link-veranda-world-v1	generated-fallback-plate	openai-imagegen://built-in/2026-09-09	sha256:d40abc0fa6c3c0f2399a05cadb045c8716a7e63d76bc8a24f25ec1c13dd3d212	original-generated-alternative	pending-review	Codex	2026-09-09
lucky-link-tabletop-room-v11	generated-background-plate	openai-imagegen://built-in/2026-09-11	sha256:f1c6eeb07ed9e782c93f98a3c1c5b4c6165ba0d7ff341895ca244f28f878e333	original-generated-alternative	pending-review	Codex	2026-09-11
lucky-link-tabletop-phone-v11	generated-sprite	openai-imagegen://built-in/2026-09-11	sha256:acf3702e0eda2b754679b3a3d9280bfddb2fcff5e52ade88e118fdd1ddda3ac1	original-generated-alternative	pending-review	Codex	2026-09-11
lucky-link-tabletop-box-v11	generated-sprite	openai-imagegen://built-in/2026-09-11	sha256:de68c4809e11265a774502f9466690d4630ae0228bce688f356dc4e9a736452d	original-generated-alternative	pending-review	Codex	2026-09-11
lucky-link-tabletop-beads-v11	generated-sprite-sheet	openai-imagegen://built-in/2026-09-11	sha256:cdf52c430a80f665592d3e5c25ebd5ec0c43e85dfe42077800384e71959a48c8	original-generated-alternative	pending-review	Codex	2026-09-11
lucky-link-jewelry-v12	generated-sprite-sheet	openai-imagegen://built-in/exec-dfe9ad5b-70d3-47f1-b1f4-4613b18ff4f3	sha256:a87835a2903ec62704e92662a8e857d2ed6418b1d05fd7e5a12b739e8cf1610c	original-generated-alternative	pending-review	Codex	2026-09-11
lucky-link-hardware-v12	generated-sprite-sheet	openai-imagegen://built-in/exec-6cada216-c690-4929-be58-93aa8e41b66f	sha256:62b1ae436373b66a4ea5cdfd42487c4abf45c6ac280cb6bfdf60d9262d5e6788	original-generated-alternative	pending-review	Codex	2026-09-11
lucky-link-box-v12	generated-sprite	openai-imagegen://built-in/exec-7dedf369-55fd-4238-96eb-7506dd48df28	sha256:c8435fdce44f3248a1bbf14321e8b13b54d7c2901ae33f968769594e77dcfab5	original-generated-alternative	pending-review	Codex	2026-09-11
lucky-link-audio-beads-v15	recorded-audio-derived	https://freesound.org/people/Anthousai/sounds/399006/	sha256:467535b746327b96d3c3b1d32dda3e87bb1b60fa49f8a6e739355e986372153c	CC0-1.0	pending-review	Codex	2026-09-14
lucky-link-audio-wood-v15	recorded-audio-derived	https://freesound.org/people/Solar01/sounds/661650/	sha256:111c18e0e670382f5710cf7925c6a9b98930e3a946d6e4698f993f35f493adba	CC0-1.0	pending-review	Codex	2026-09-14
lucky-link-audio-clink-v15	recorded-audio-derived	https://freesound.org/people/AardsReal/sounds/842180/	sha256:d45a60cd0a1b5acb2fecf8f321168cba4df038c03cd3fc948072d95db6631d98	CC0-1.0	pending-review	Codex	2026-09-14
lucky-link-audio-wind-v15	recorded-audio-derived	https://freesound.org/people/SamuelGremaud/sounds/544844/	sha256:64f201a25d91b7c12519a2bcbd07c9749fb1be1a778aae63ea0b477158764c02	CC0-1.0	pending-review	Codex	2026-09-14
lucky-link-collections-bloom-v17	generated-sprite-sheet	openai-imagegen://built-in/exec-e083ce5c-1d4a-46e4-bb44-e6948efa831c	sha256:6fb4892a35be0d26052c3cf47792a4516b09bb5364dba03bfd381b5848262624	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-collections-chrome-v17	generated-sprite-sheet	openai-imagegen://built-in/exec-70c63939-f6ea-47a0-afe7-b392761d3883	sha256:3e659c931345a2fae4f1645384a45dda43e6fb1d970978584cc8f79c8ae01c66	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-collections-gems-v17	generated-sprite-sheet	openai-imagegen://built-in/exec-c7c9cbe3-1468-4d84-8c0a-f657fdd23eb6	sha256:3027a56dc0a56735295dd6c42783ffad994c028832337db84b4cfc51c70a77b6	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-collections-jelly-v17	generated-sprite-sheet	openai-imagegen://built-in/exec-ea059bf3-7bd3-4d28-94f4-37c9fae322cf	sha256:e17070899d69d32c687383c0b05bf639239476df72f77c67d6bd7fffa151bf87	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-collections-pearl-v17	generated-sprite-sheet	openai-imagegen://built-in/exec-1a323def-ea68-42f9-bb06-facba0d64e04	sha256:de16696939df1079be760193c432ad5d03a4f3022035432ad10de12ff7e150df	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-collections-sea-v17	generated-sprite-sheet	openai-imagegen://built-in/exec-c725b49e-c8f4-412f-b522-a15f6af98365	sha256:700bfb976eb8feb2963507eb814203b60e8469757c82cc28bab55689822cf6f8	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-tabletop-phone-v17	generated-background-plate	openai-imagegen://built-in/exec-ab2512ab-45c4-45c9-9483-bfba37b46bed	sha256:a6d07b991636d0a544a5f89a7b3d52b4122cad0e3bf861ba7a733ad0585e22bd	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-tabletop-room-v17	generated-background-plate	openai-imagegen://built-in/exec-c59deba6-c4b4-46e7-9ca3-d50b1f435ca0	sha256:8bc711082f1088541f606b210a4e45ac9f697e46fe59e63e60ed3eb5f8b65bfc	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-box-v12-lossless	lossless-delivery-derived	local-original://box-v12.png	sha256:6f514a3b30b252a2b89f9cd1add805bda52d9819d07524b56834674b3cb90963	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-hardware-v12-lossless	lossless-delivery-derived	local-original://hardware-v12.png	sha256:169514405d852b702dddb0a2fa5b56fd79a137f5218ef958f0e7d43a9f928567	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-jewelry-v12-lossless	lossless-delivery-derived	local-original://jewelry-v12.png	sha256:2652280e147e570a021f64622d943b4490ead04b83af3d7277ee756ebe53b7d7	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-tabletop-room-v17-lossless	lossless-delivery-derived	local-original://tabletop-room-v17.png	sha256:af55ba3208e1c600c93de8d71ae0a125ae35b257c90b3d2272a421d3bf283486	original-generated-alternative	pending-review	Codex	2026-09-15
lucky-link-home-hook-comic-v22	generated-home-hero	openai-imagegen://built-in/exec-0412633a-d3d1-4445-8c89-034c2f562ab3	sha256:0603e06d49820920da8b06e39a20f97e18a226d26637c316cdd7ebadfb0e8ef1	original-generated-alternative	approved	钟笑咪	2026-09-16
